CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
261167635,1/29/2022,15:00:00,12/19/2022,13:30:00,70,12/31/2022,104,RAPE,157,RAPE 1,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),991549,169019,25-44,BLACK,M,,40.63059985,-73.97370532,"(40.6305998504358, -73.9737053160275)",PATROL BORO BKLYN SOUTH,(null),<18,BLACK,F,13513,60,2,18,43
261178122,12/31/2022,9:50:00,12/31/2022,9:55:00,102,12/31/2022,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,QUEENS,FRONT OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1028742,194916,45-64,WHITE,F,,40.701566,-73.839536,"(40.701566, -73.839536)",PATROL BORO QUEENS SOUTH,(null),25-44,UNKNOWN,F,24014,46,3,41,60
261253182,12/31/2022,22:03:00,12/31/2022,22:07:00,69,12/31/2022,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),227,1013308,176001,(null),(null),(null),,40.649714,-73.89528,"(40.649714, -73.89528)",PATROL BORO BKLYN SOUTH,(null),65+,BLACK,F,13827,5,2,25,42
261164253,12/23/2022,8:30:00,12/31/2022,9:18:00,115,12/31/2022,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,QUEENS,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1018204,217658,(null),(null),(null),,40.76403211,-73.87742876,"(40.76403211, -73.87742876)",PATROL BORO QUEENS NORTH,(null),18-24,ASIAN / PACIFIC ISLANDER,M,14511,65,3,21,73
261173332,12/31/2022,11:15:00,12/31/2022,11:22:00,5,12/31/2022,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,HOTEL/MOTEL,N.Y. POLICE DEPT,0,(null),(null),(null),986229,201004,(null),(null),(null),,40.718387,-73.992858,"(40.718387, -73.992858)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D,11723,70,4,32,2
261173438,12/31/2022,15:40:00,12/31/2022,15:55:00,73,12/31/2022,126,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),415,1010721,182073,45-64,WHITE HISPANIC,M,,40.666387,-73.90458,"(40.666387, -73.90458)",PATROL BORO BKLYN NORTH,(null),45-64,WHITE HISPANIC,F,17614,55,2,17,46
261236418,12/31/2022,20:30:00,12/31/2022,20:33:00,1,12/31/2022,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,HOTEL/MOTEL,N.Y. POLICE DEPT,0,(null),(null),(null),980308,197457,UNKNOWN,BLACK,M,,40.708651,-74.014218,"(40.708651, -74.014218)",PATROL BORO MAN SOUTH,(null),18-24,WHITE HISPANIC,M,11727,56,4,32,1
261157678,12/30/2022,21:30:00,12/30/2022,21:55:00,104,12/31/2022,107,BURGLARY,223,"BURGLARY,RESIDENCE,NIGHT",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1024309,196108,25-44,BLACK HISPANIC,M,,40.704859,-73.855518,"(40.704859, -73.855518)",PATROL BORO QUEENS NORTH,(null),65+,WHITE,M,15310,40,3,34,62
261170506,12/31/2022,13:40:00,12/31/2022,13:49:00,40,12/31/2022,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1007292,238953,(null),(null),(null),,40.822517,-73.916746,"(40.822517, -73.916746)",PATROL BORO BRONX,(null),45-64,UNKNOWN,F,10929,49,5,43,23
261166635,12/31/2022,8:15:00,12/31/2022,8:30:00,110,12/31/2022,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1025415,209032,25-44,ASIAN / PACIFIC ISLANDER,M,,40.740326,-73.851449,"(40.740326, -73.851449)",PATROL BORO QUEENS NORTH,(null),25-44,WHITE HISPANIC,F,14510,66,3,21,68
261166626,12/31/2022,6:25:00,12/31/2022,6:32:00,105,12/31/2022,341,PETIT LARCENY,357,"LARCENY,PETIT OF VEHICLE ACCES",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1058939,177780,(null),(null),(null),,40.654327,-73.73082,"(40.654327, -73.73082)",PATROL BORO QUEENS SOUTH,(null),25-44,BLACK,F,24018,63,3,47,63
